host_id,event_time,event_type,action,chain_phase,technique,variant,domain,bytes_kb,city,is_abnormal,peer_host
H008981,2026-07-06 16:01:24,email_open,阅读邮件（内部往来 3）,,,,wiki.company.cn,,,,
H006747,2026-07-06 16:08:23,upload,上传附件 7MB,,T1567,,docs.company.cn,14521,,,
H001402,2026-07-06 16:14:43,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H004058,2026-07-06 16:15:04,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H006747,2026-07-06 16:18:43,download,下载文档/更新包 28MB,,T1204.002,,,2669,,,
H000438,2026-07-06 16:20:40,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H001651,2026-07-06 16:21:21,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H008164,2026-07-06 16:22:18,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H008057,2026-07-06 16:23:59,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005496,2026-07-06 16:33:35,download,下载文档/更新包 25MB,,T1204.002,,,44572,,,
H000805,2026-07-06 16:34:28,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H002480,2026-07-06 16:34:52,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H001668,2026-07-06 16:39:35,dns_query,域名解析,,T1071.001,,github.com,,,,
H006113,2026-07-06 16:39:44,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006311,2026-07-06 16:41:59,login,登录办公终端,,T1078,,,,,,
H007983,2026-07-06 16:42:54,download,下载文档/更新包 37MB,,T1204.002,,,5065,,,
H003923,2026-07-06 16:44:48,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001668,2026-07-06 16:45:20,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H005496,2026-07-06 16:45:42,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H004058,2026-07-06 16:45:57,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H006473,2026-07-06 16:49:10,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004058,2026-07-06 16:50:15,email_open,阅读邮件（内部往来 3）,,,,npm.company.cn,,,,
H004080,2026-07-06 16:56:00,dns_query,域名解析,,T1071.001,,kb.company.cn,,,,
H004149,2026-07-06 16:56:12,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H000438,2026-07-06 16:57:50,login,登录办公终端,,T1078,,,,,,
H001824,2026-07-06 16:57:55,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H006473,2026-07-06 16:59:02,login,登录办公终端,,T1078,,,,苏州市,,
H006311,2026-07-06 17:02:02,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002480,2026-07-06 17:02:21,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H008057,2026-07-06 17:04:04,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H008164,2026-07-06 17:05:34,download,下载文档/更新包 43MB,,T1204.002,,,42074,,,
H004080,2026-07-06 17:05:37,login,登录办公终端,,T1078,,,,,,
H008154,2026-07-06 17:08:55,login,登录办公终端,,T1078,,,,,,
H005496,2026-07-06 17:09:15,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H003725,2026-07-06 17:10:02,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008164,2026-07-06 17:10:46,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009170,2026-07-06 17:14:45,login,登录办公终端,,T1078,,,,,,
H001668,2026-07-06 17:16:35,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H005988,2026-07-06 17:23:23,login,登录办公终端,,T1078,,,,,,
H000805,2026-07-06 17:26:19,login,登录办公终端,,T1078,,,,,,
H000438,2026-07-06 17:28:40,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H003923,2026-07-06 17:29:57,login,登录办公终端,,T1078,,,,,,
H001235,2026-07-06 17:30:29,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H004953,2026-07-06 17:31:29,login,登录办公终端,,T1078,,,,南京市,,
H008057,2026-07-06 17:33:13,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H005614,2026-07-06 17:33:43,login,登录办公终端,,T1078,,,,西安市,,
H001824,2026-07-06 17:35:20,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H002480,2026-07-06 17:37:29,download,下载文档/更新包 45MB,,T1204.002,,,10066,,,
H009816,2026-07-06 17:40:29,login,登录办公终端,,T1078,,,,东莞市,,
H003725,2026-07-06 17:41:11,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H005600,2026-07-06 17:42:08,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001668,2026-07-06 17:43:18,login,登录办公终端,,T1078,,,,,,
H000564,2026-07-06 17:43:35,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H003725,2026-07-06 17:43:36,login,登录办公终端,,T1078,,,,,,
H006747,2026-07-06 17:43:42,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H003043,2026-07-06 17:44:32,persist_create,注册软件更新计划任务,,T1053.005,,,,,,
H009816,2026-07-06 17:47:20,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H006896,2026-07-06 17:47:26,login,登录办公终端,,T1078,,,,,,
H001235,2026-07-06 17:50:35,failed_login,密码错误自动重试,,T1110.001,,,,,,
H000763,2026-07-06 17:54:35,vpn_connect,出差地 VPN 接入,,T1078,,,,上海市,,
H006896,2026-07-06 17:57:32,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005600,2026-07-06 18:00:14,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H004953,2026-07-06 18:00:21,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H000805,2026-07-06 18:01:31,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006113,2026-07-06 18:06:13,login,登录办公终端,,T1078,,,,武汉市,,
H006473,2026-07-06 18:09:27,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004763,2026-07-06 18:10:21,login,登录办公终端,,T1078,,,,,,
H005220,2026-07-06 18:16:02,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H006049,2026-07-06 18:17:36,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H004564,2026-07-06 18:18:18,login,登录办公终端,,T1078,,,,,,
H008154,2026-07-06 18:33:32,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009170,2026-07-06 18:34:19,dns_query,域名解析,,T1071.001,,qq.com,,,,
H003725,2026-07-06 18:37:38,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004775,2026-07-06 18:38:07,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H009982,2026-07-06 18:41:01,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H006747,2026-07-06 18:45:33,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H003043,2026-07-06 18:45:52,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H004717,2026-07-06 18:46:29,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H001824,2026-07-06 18:47:08,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004717,2026-07-06 18:49:52,login,登录办公终端,,T1078,,,,,,
H002774,2026-07-06 18:52:21,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H009903,2026-07-06 18:57:03,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H006049,2026-07-06 18:57:36,dns_query,域名解析,,T1071.001,,kb.company.cn,,,,
H004149,2026-07-06 18:59:17,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H006049,2026-07-06 19:10:17,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H000564,2026-07-06 19:13:18,dns_query,域名解析,,T1071.001,,jd.com,,,,
H001269,2026-07-06 19:18:02,login,登录办公终端,,T1078,,,,,,
H007129,2026-07-06 19:21:50,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005600,2026-07-06 19:29:53,failed_login,密码错误自动重试,,T1110.001,,,,,,
H007983,2026-07-06 19:31:21,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H008164,2026-07-06 19:41:06,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H008057,2026-07-06 19:41:22,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004717,2026-07-06 20:03:47,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006747,2026-07-06 20:16:22,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H001235,2026-07-06 20:31:23,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H004717,2026-07-06 20:32:52,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H004953,2026-07-06 20:34:50,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H009691,2026-07-06 20:35:21,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H006113,2026-07-06 20:38:06,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H001235,2026-07-06 20:40:02,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H007129,2026-07-06 20:47:10,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H002223,2026-07-06 20:52:38,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H008164,2026-07-06 21:01:42,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H003785,2026-07-06 21:02:56,login,登录办公终端,,T1078,,,,苏州市,,
H001269,2026-07-06 21:05:41,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H009691,2026-07-06 21:06:32,login,登录办公终端,,T1078,,,,东莞市,,
H005614,2026-07-06 22:08:55,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002774,2026-07-06 22:51:20,login,登录办公终端,,T1078,,,,,,
H004956,2026-07-07 00:46:01,login,登录办公终端,,T1078,,,,,,
H009903,2026-07-07 02:53:27,download,下载文档/更新包 10MB,,T1204.002,,,23475,,,
H001419,2026-07-07 06:11:43,login,登录办公终端,,T1078,,,,,,
H001721,2026-07-07 06:25:17,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H001269,2026-07-07 07:01:33,login,登录办公终端,,T1078,,,,,,
H008981,2026-07-07 07:05:16,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H005600,2026-07-07 07:33:31,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H001721,2026-07-07 07:52:38,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002844,2026-07-07 08:00:42,upload,上传附件 14MB,,T1567,,docs.company.cn,11506,,,
H005614,2026-07-07 08:01:40,login,登录办公终端,,T1078,,,,西安市,,
H009170,2026-07-07 08:02:29,login,登录办公终端,,T1078,,,,,,
H004956,2026-07-07 08:03:27,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H004902,2026-07-07 08:05:16,download,下载文档/更新包 29MB,,T1204.002,,,25598,,,
H002907,2026-07-07 08:17:46,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H004058,2026-07-07 08:17:59,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H008931,2026-07-07 08:18:05,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H009170,2026-07-07 08:18:07,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H001419,2026-07-07 08:19:27,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004902,2026-07-07 08:28:01,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H009903,2026-07-07 08:32:10,login,登录办公终端,,T1078,,,,天津市,,
H001235,2026-07-07 08:36:08,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H004902,2026-07-07 08:49:43,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H009500,2026-07-07 08:54:12,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H001177,2026-07-07 08:56:25,login,登录办公终端,,T1078,,,,,,
H002774,2026-07-07 08:59:56,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H002907,2026-07-07 09:04:44,failed_login,密码错误自动重试,,T1110.001,,,,,,
H002479,2026-07-07 09:05:57,upload,上传附件 1MB,,T1567,,docs.company.cn,6918,,,
H000559,2026-07-07 09:09:12,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H004775,2026-07-07 09:09:59,download,下载文档/更新包 4MB,,T1204.002,,,35360,,,
H004564,2026-07-07 09:11:05,login,登录办公终端,,T1078,,,,,,
H008154,2026-07-07 09:13:29,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H008164,2026-07-07 09:14:51,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H003910,2026-07-07 09:18:57,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H005220,2026-07-07 09:23:09,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H009979,2026-07-07 09:27:11,email_open,阅读邮件（内部往来 3）,,,,kb.company.cn,,,,
H004816,2026-07-07 09:27:43,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H004564,2026-07-07 09:29:23,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H003923,2026-07-07 09:35:09,login,登录办公终端,,T1078,,,,,,
H008164,2026-07-07 09:35:17,download,下载文档/更新包 18MB,,T1204.002,,,23108,,,
H003923,2026-07-07 09:45:28,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H000466,2026-07-07 09:46:21,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H002479,2026-07-07 09:50:43,download,下载文档/更新包 17MB,,T1204.002,,,7643,,,
H006049,2026-07-07 09:51:24,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H006311,2026-07-07 09:53:25,login,登录办公终端,,T1078,,,,,,
H001819,2026-07-07 09:55:15,login,登录办公终端,,T1078,,,,,,
H009500,2026-07-07 09:57:17,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001986,2026-07-07 09:58:20,dns_query,域名解析,,T1071.001,,qq.com,,,,
H001177,2026-07-07 10:03:18,download,下载文档/更新包 40MB,,T1204.002,,,11294,,,
H006718,2026-07-07 10:04:06,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H002844,2026-07-07 10:06:00,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H006311,2026-07-07 10:09:00,dns_query,域名解析,,T1071.001,,baidu.com,,,,
H002480,2026-07-07 10:13:08,login,登录办公终端,,T1078,,,,,,
H004956,2026-07-07 10:14:47,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H004956,2026-07-07 10:19:06,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H000527,2026-07-07 10:19:22,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H005496,2026-07-07 10:20:39,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004362,2026-07-07 10:23:00,download,下载文档/更新包 41MB,,T1204.002,,,41820,,,
H001819,2026-07-07 10:23:45,download,下载文档/更新包 29MB,,T1204.002,,,14909,,,
H002907,2026-07-07 10:24:33,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H004564,2026-07-07 10:24:38,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009170,2026-07-07 10:30:17,dns_query,域名解析,,T1071.001,,qq.com,,,,
H005220,2026-07-07 10:32:50,login,登录办公终端,,T1078,,,,,,
H009698,2026-07-07 10:36:44,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009170,2026-07-07 10:39:31,download,下载文档/更新包 38MB,,T1204.002,,,41636,,,
H005600,2026-07-07 10:43:09,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H000559,2026-07-07 10:44:37,login,登录办公终端,,T1078,,,,,,
H000763,2026-07-07 10:45:43,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H007030,2026-07-07 10:50:29,login,登录办公终端,,T1078,,,,西安市,,
H008154,2026-07-07 10:52:37,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H001547,2026-07-07 10:52:46,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H000763,2026-07-07 10:53:41,dns_query,域名解析,,T1071.001,,jd.com,,,,
H003533,2026-07-07 10:54:20,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H006718,2026-07-07 11:04:54,login,登录办公终端,,T1078,,,,,,
H003833,2026-07-07 11:09:19,sensitive_access,查询工资单（本职工作）,,T1005,,,,,,
H009698,2026-07-07 11:11:41,dns_query,域名解析,,T1071.001,,zhihu.com,,,,
H006473,2026-07-07 11:12:23,login,登录办公终端,,T1078,,,,苏州市,,
H001721,2026-07-07 11:13:26,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H000466,2026-07-07 11:17:44,email_open,阅读邮件（内部往来 3）,,,,npm.company.cn,,,,
H004816,2026-07-07 11:21:37,login,登录办公终端,,T1078,,,,,,
H003533,2026-07-07 11:27:01,login,登录办公终端,,T1078,,,,武汉市,,
H001547,2026-07-07 11:29:43,login,登录办公终端,,T1078,,,,南京市,,
H002223,2026-07-07 11:31:53,login,登录办公终端,,T1078,,,,苏州市,,
H001819,2026-07-07 11:32:45,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009535,2026-07-07 11:37:17,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H004362,2026-07-07 11:37:39,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001819,2026-07-07 11:38:28,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H006373,2026-07-07 11:39:08,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H003910,2026-07-07 11:39:17,upload,上传附件 9MB,,T1567,,docs.company.cn,9857,,,
H002479,2026-07-07 11:43:00,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H008931,2026-07-07 11:46:14,login,登录办公终端,,T1078,,,,,,
H000527,2026-07-07 11:54:29,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H003725,2026-07-07 11:56:13,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H006473,2026-07-07 11:56:53,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H003923,2026-07-07 11:57:26,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H009698,2026-07-07 12:03:17,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H009979,2026-07-07 12:04:06,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H002774,2026-07-07 12:14:05,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H004058,2026-07-07 12:16:13,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H001721,2026-07-07 12:20:53,dns_query,域名解析,,T1071.001,,jd.com,,,,
H006738,2026-07-07 12:23:29,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H004362,2026-07-07 12:26:15,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H006738,2026-07-07 12:27:17,login,登录办公终端,,T1078,,,,,,
H001269,2026-07-07 12:28:10,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H001668,2026-07-07 12:30:44,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H007030,2026-07-07 12:35:20,download,下载文档/更新包 17MB,,T1204.002,,,25574,,,
H004362,2026-07-07 12:36:04,login,登录办公终端,,T1078,,,,,,
H009979,2026-07-07 12:36:04,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H004775,2026-07-07 12:36:36,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H007030,2026-07-07 12:41:27,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H006049,2026-07-07 12:44:20,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005220,2026-07-07 12:51:27,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H006419,2026-07-07 12:51:27,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H002480,2026-07-07 12:59:54,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005496,2026-07-07 13:00:31,upload,外发数据 19MB（含客户名单片段）,exfil,T1567,evasive,share-doc.company.cn,19456,,,
H003725,2026-07-07 13:04:56,email_open,阅读邮件（内部往来 2）,,,,kb.company.cn,,,,
H005496,2026-07-07 13:13:31,cleanup,清除本地外发缓存,cover,T1070.004,evasive,,,,,
H001177,2026-07-07 13:15:06,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H005496,2026-07-07 13:16:05,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H005614,2026-07-07 13:23:26,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H008981,2026-07-07 13:25:17,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H002223,2026-07-07 13:43:13,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H004816,2026-07-07 13:45:51,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H006113,2026-07-07 13:49:41,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H009903,2026-07-07 13:51:25,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004058,2026-07-07 13:52:41,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H002844,2026-07-07 13:58:53,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009500,2026-07-07 13:59:13,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H008164,2026-07-07 14:00:59,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H009979,2026-07-07 14:27:49,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H009979,2026-07-07 14:33:33,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H004058,2026-07-07 14:33:39,login,登录办公终端,,T1078,,,,,,
H001177,2026-07-07 14:43:55,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006113,2026-07-07 14:53:49,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005600,2026-07-07 15:08:15,login,登录办公终端,,T1078,,,,,,
H001721,2026-07-07 15:09:06,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001721,2026-07-07 15:09:30,login,登录办公终端,,T1078,,,,,,
H008164,2026-07-07 15:12:26,failed_login,密码错误自动重试,,T1110.001,,,,,,
H000763,2026-07-07 15:17:30,login,登录办公终端,,T1078,,,,,,
H004902,2026-07-07 15:21:56,login,登录办公终端,,T1078,,,,,,
H002480,2026-07-07 15:35:30,dns_query,域名解析,,T1071.001,,kb.company.cn,,,,
H004058,2026-07-07 15:36:40,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005496,2026-07-07 15:40:05,upload,上传附件 7MB,,T1567,,docs.company.cn,9019,,,
H004775,2026-07-07 15:41:30,login,登录办公终端,,T1078,,,,,,
H008981,2026-07-07 15:50:05,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H002479,2026-07-07 15:52:27,login,登录办公终端,,T1078,,,,天津市,,
H006738,2026-07-07 15:52:59,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H003725,2026-07-07 15:53:06,login,登录办公终端,,T1078,,,,,,
H006311,2026-07-07 15:53:49,email_open,阅读邮件（内部往来 2）,,,,oa.company.cn,,,,
H003910,2026-07-07 15:56:57,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H002844,2026-07-07 15:58:20,failed_login,密码错误自动重试,,T1110.001,,,,,,
H007030,2026-07-07 15:59:03,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H001177,2026-07-07 16:01:36,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H009903,2026-07-07 16:03:14,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H004394,2026-07-07 16:06:47,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H006473,2026-07-07 16:07:31,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H001419,2026-07-07 16:08:02,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H008931,2026-07-07 16:09:28,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004724,2026-07-07 16:09:31,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H004394,2026-07-07 16:15:00,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H006419,2026-07-07 16:16:38,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H004058,2026-07-07 16:21:20,dns_query,域名解析,,T1071.001,,npm.company.cn,,,,
H003910,2026-07-07 16:22:56,login,登录办公终端,,T1078,,,,,,
H001796,2026-07-07 16:23:44,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H006419,2026-07-07 16:26:21,login,登录办公终端,,T1078,,,,南京市,,
H002223,2026-07-07 16:29:27,failed_login,密码错误自动重试,,T1110.001,,,,,,
H001819,2026-07-07 16:30:43,dns_query,域名解析,,T1071.001,,oa.company.cn,,,,
H006738,2026-07-07 16:31:22,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H005496,2026-07-07 16:43:51,login,登录办公终端,,T1078,,,,,,
H003923,2026-07-07 16:44:18,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009903,2026-07-07 16:46:24,email_open,阅读邮件（内部往来 3）,,,,oa.company.cn,,,,
H000559,2026-07-07 16:49:00,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H000527,2026-07-07 16:51:20,login,登录办公终端,,T1078,,,,,,
H000466,2026-07-07 16:55:41,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H003725,2026-07-07 16:58:31,email_open,阅读邮件（内部往来 3）,,,,kb.company.cn,,,,
H001235,2026-07-07 17:01:55,dns_query,域名解析,,T1071.001,,baidu.com,,,,
H002479,2026-07-07 17:02:25,dns_query,域名解析,,T1071.001,,bilibili.com,,,,
H002907,2026-07-07 17:16:39,login,登录办公终端,,T1078,,,,,,
H004724,2026-07-07 17:17:15,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H006311,2026-07-07 17:18:27,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008931,2026-07-07 17:18:37,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H006113,2026-07-07 17:20:03,download,下载文档/更新包 15MB,,T1204.002,,,37595,,,
H006113,2026-07-07 17:21:33,login,登录办公终端,,T1078,,,,武汉市,,
H004394,2026-07-07 17:21:51,login,登录办公终端,,T1078,,,,,,
H004564,2026-07-07 17:23:12,download,下载文档/更新包 2MB,,T1204.002,,,12392,,,
H003725,2026-07-07 17:23:20,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H001721,2026-07-07 17:24:12,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H008931,2026-07-07 17:24:12,email_open,阅读邮件（内部往来 3）,,,,npm.company.cn,,,,
H006738,2026-07-07 17:29:23,download,下载文档/更新包 15MB,,T1204.002,,,16755,,,
H002479,2026-07-07 17:31:53,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H009698,2026-07-07 17:32:30,login,登录办公终端,,T1078,,,,,,
