policyholder_id,event_time,event_type,action,fraud_phase,variant,amount,provider,multi_insurer
P075421,2026-02-17 14:47:51,premium_pay,缴纳保费 2010 元,,,2010,,
P034190,2026-02-18 18:52:10,claim_submit,提交理赔材料,,,,,
P078203,2026-02-19 10:37:23,claim_submit,提交理赔材料,,,,,
P041695,2026-02-20 13:55:03,claim_report,出险报案,,,,,
P064528,2026-02-20 14:08:40,policy_issue,保单签发（车险，保额 1340764 元）,,,,,
P008990,2026-02-20 18:05:54,premium_renew,续缴保费,,,5920,,
P018259,2026-02-21 07:04:40,claim_submit,提交理赔材料,,,,,
P008197,2026-02-21 12:10:14,premium_renew,续缴保费,,,2791,,
P028550,2026-02-21 19:44:26,premium_renew,续缴保费,,,6617,,
P000460,2026-02-24 12:30:57,register,提交投保申请,,,,,
P041695,2026-02-24 13:55:03,repair_visit,车辆维修,,,,通达维修站,
P000460,2026-02-25 12:30:57,premium_pay,缴纳保费 1218 元,,,1218,,
P041695,2026-02-25 13:55:03,claim_submit,提交理赔材料,,,,,
P092502,2026-02-27 09:02:02,claim_submit,提交理赔材料（延迟补充）,,,,,
P078203,2026-02-27 10:37:23,claim_pay,赔付 8066 元,,,8066,,
P041695,2026-02-27 13:55:03,survey,现场查勘,,,,公估员-王,
P000460,2026-02-28 12:30:57,policy_issue,保单签发（家财险，保额 489238 元）,,,,,
P078678,2026-03-02 13:44:20,claim_report,出险报案,,,,,
P089294,2026-03-04 18:50:23,premium_renew,续缴保费,,,8118,,
P034190,2026-03-06 18:52:10,claim_pay,赔付 5583 元,,,5583,,
P041695,2026-03-07 13:55:03,claim_pay,赔付 5024 元,,,5024,,
P022487,2026-03-11 08:52:30,premium_renew,续缴保费,,,4176,,
P018259,2026-03-12 07:04:40,claim_pay,赔付 3234 元,,,3234,,
P073605,2026-03-12 14:51:55,register,提交投保申请,,,,,
P078678,2026-03-15 13:44:20,claim_submit,提交理赔材料,,,,,
P073605,2026-03-15 14:51:55,premium_pay,缴纳保费 1973 元,,,1973,,
P084839,2026-03-20 05:50:53,premium_renew,续缴保费,,,18607,,
P073605,2026-03-20 14:51:55,policy_issue,保单签发（健康险，保额 423630 元）,,,,,
P097036,2026-03-22 13:53:18,premium_renew,续缴保费,,,5505,,
P071180,2026-03-24 07:51:09,premium_renew,续缴保费,,,1309,,
P078678,2026-03-25 13:44:20,claim_pay,赔付 14352 元,,,14352,,
P064202,2026-03-28 13:57:06,premium_renew,续缴保费,,,4770,,
P041695,2026-03-28 19:47:23,register,提交投保申请,,,,,
P041695,2026-04-01 19:47:23,premium_pay,缴纳保费 4206 元,,,4206,,
P022744,2026-04-09 15:42:17,policy_change,变更联系地址,,,,,
P041695,2026-04-09 19:47:23,policy_issue,保单签发（车险，保额 761704 元）,,,,,
P053150,2026-04-11 08:49:36,premium_renew,续缴保费,,,3241,,
P078678,2026-04-13 12:36:58,premium_renew,续缴保费,,,2017,,
P070164,2026-04-13 14:02:08,policy_change,调整保额,,,,,
P094746,2026-04-20 19:08:29,premium_renew,续缴保费,,,5419,,
P060036,2026-04-21 11:39:15,claim_report,出险报案,,,,,
P011643,2026-04-21 12:43:52,policy_change,变更受益人,,,,,
P075245,2026-04-23 07:48:11,claim_report,出险报案（延迟 12 天）,,,,,
P016289,2026-04-23 10:25:30,register,提交投保申请,,,,,
P060036,2026-04-24 11:39:15,repair_visit,车辆维修,,,,安捷修理厂,
P016289,2026-04-25 10:25:30,premium_pay,缴纳保费 943 元,,,943,,
P015581,2026-04-26 09:19:01,policy_change,变更联系地址,,,,,
P025015,2026-04-27 19:39:28,claim_report,出险报案（同组相近时间）,stage,evasive,,,
P016289,2026-04-28 10:25:30,policy_issue,保单签发（意外险，保额 626589 元）,,,,,
P060036,2026-04-28 11:39:15,survey,现场查勘,,,,公估员-刘,
P025015,2026-04-28 19:39:28,repair_visit,车辆维修,collude,evasive,,仁心堂,
P060036,2026-05-02 11:39:15,claim_submit,提交理赔材料,,,,,
P025015,2026-05-04 19:39:28,claim_submit,提交理赔 10667 元（异地申报）,inflate,evasive,10667,,1
P060036,2026-05-05 11:39:15,claim_pay,赔付 2106 元,,,2106,,
P015581,2026-05-08 16:29:20,premium_renew,续缴保费,,,2041,,
P037393,2026-05-08 16:52:26,premium_renew,续缴保费,,,8667,,
P051452,2026-05-09 23:36:59,premium_renew,续缴保费,,,2507,,
P051452,2026-05-12 14:13:49,claim_report,出险报案（延迟 12 天）,,,,,
P075245,2026-05-13 07:48:11,claim_reject,材料不全被退回,,,,,
P075245,2026-05-16 07:48:11,claim_submit,提交理赔材料（延迟补充）,,,,,
P025015,2026-05-16 19:39:28,claim_pay,赔付 10667 元,cashout,evasive,10667,,
P072201,2026-05-24 13:45:27,premium_renew,续缴保费,,,2894,,
P028236,2026-05-25 08:24:00,premium_renew,续缴保费,,,2132,,
P054252,2026-05-25 13:20:06,premium_renew,续缴保费,,,6815,,
P011643,2026-05-27 06:10:40,premium_renew,续缴保费,,,2789,,
P096829,2026-06-03 07:31:41,claim_report,出险报案,,,,,
P096829,2026-06-03 07:31:41,repair_visit,车辆维修,,,,瑞丰汽修,
P048335,2026-06-03 19:24:04,premium_renew,续缴保费,,,5639,,
P051452,2026-06-04 14:13:49,claim_submit,提交理赔材料（延迟补充）,,,,,
P019677,2026-06-04 17:24:24,premium_renew,续缴保费,,,6438,,
P004162,2026-06-05 12:57:50,register,提交投保申请,,,,,
P096829,2026-06-09 07:31:41,claim_submit,提交理赔材料,,,,,
P035176,2026-06-09 10:40:16,premium_renew,续缴保费,,,583,,
P017874,2026-06-10 08:35:56,premium_renew,续缴保费,,,1452,,
P080697,2026-06-14 08:29:31,premium_renew,续缴保费,,,2393,,
P004162,2026-06-14 12:57:50,premium_pay,缴纳保费 3117 元,,,3117,,
P096829,2026-06-15 09:57:25,claim_report,出险报案（延迟 12 天）,,,,,
P004162,2026-06-15 12:57:50,policy_issue,保单签发（车险，保额 987556 元）,,,,,
P078678,2026-06-15 13:01:33,claim_report,出险报案,,,,,
P078678,2026-06-20 13:01:33,claim_submit,提交理赔材料,,,,,
P012907,2026-06-22 19:34:50,premium_renew,续缴保费,,,805,,
P075764,2026-06-24 10:58:19,register,提交投保申请,,,,,
P084766,2026-06-26 13:09:29,policy_change,变更联系地址,,,,,
P078678,2026-06-27 13:01:33,claim_pay,赔付 8441 元,,,8441,,
P075764,2026-06-28 10:58:19,policy_issue,保单签发（健康险，保额 487408 元）,,,,,
P096829,2026-06-30 07:31:41,claim_pay,赔付 2799 元,,,2799,,
P075764,2026-07-02 10:58:19,premium_pay,缴纳保费 2170 元,,,2170,,
P060036,2026-07-07 15:34:45,claim_report,出险报案,,,,,
P060036,2026-07-08 15:34:45,repair_visit,车辆维修,,,,恒通修理厂,
P096829,2026-07-09 09:57:25,claim_submit,提交理赔材料（延迟补充）,,,,,
P002743,2026-07-13 10:20:18,register,提交投保申请,,,,,
P037633,2026-07-14 09:35:57,premium_renew,续缴保费,,,4887,,
P002743,2026-07-14 10:20:18,premium_pay,缴纳保费 7337 元,,,7337,,
P086297,2026-07-17 16:00:46,claim_report,出险报案,,,,,
P086297,2026-07-17 16:00:46,medical_visit,就诊检查,,,,康泰医院,
P002743,2026-07-20 10:20:18,policy_issue,保单签发（车险，保额 839513 元）,,,,,
P060036,2026-07-21 15:34:45,claim_pay,赔付 10327 元,,,10327,,
P086297,2026-07-22 16:00:46,claim_submit,提交理赔材料,,,,,
P067591,2026-07-23 11:14:09,premium_renew,续缴保费,,,1915,,
P060036,2026-07-23 15:34:45,claim_submit,提交理赔材料,,,,,
P076364,2026-08-01 11:26:18,register,提交投保申请,,,,,
P086297,2026-08-01 16:00:46,survey,现场查勘,,,,公估员-刘,
P075764,2026-08-02 11:12:05,claim_report,出险报案,,,,,
P076364,2026-08-02 11:26:18,premium_pay,缴纳保费 5869 元,,,5869,,
P091229,2026-08-02 12:05:56,register,提交投保申请,,,,,
P031135,2026-08-03 11:00:23,register,提交投保申请,,,,,
P075764,2026-08-05 11:12:05,medical_visit,就诊检查,,,,惠民门诊,
P018259,2026-08-06 07:29:05,premium_renew,续缴保费,,,6340,,
P091229,2026-08-06 12:05:56,premium_pay,缴纳保费 6686 元,,,6686,,
P091229,2026-08-06 12:05:56,policy_issue,保单签发（车险，保额 334923 元）,,,,,
P018259,2026-08-06 16:43:45,claim_report,出险报案,,,,,
P031135,2026-08-07 11:00:23,policy_issue,保单签发（寿险，保额 1844421 元）,,,,,
P018259,2026-08-08 16:43:45,repair_visit,车辆维修,,,,联合汽修,
P078678,2026-08-09 10:44:02,claim_report,出险报案,,,,,
P031135,2026-08-10 11:00:23,premium_pay,缴纳保费 15050 元,,,15050,,
P075764,2026-08-10 11:12:05,claim_pay,赔付 12073 元,,,12073,,
P037393,2026-08-11 07:39:31,policy_change,变更受益人,,,,,
P086297,2026-08-12 16:00:46,claim_pay,赔付 4846 元,,,4846,,
P076364,2026-08-15 11:26:18,policy_issue,保单签发（车险，保额 1039436 元）,,,,,
P000080,2026-08-15 12:15:54,premium_renew,续缴保费,,,3323,,
P018259,2026-08-16 16:43:45,claim_pay,赔付 9669 元,,,9669,,
P075764,2026-08-18 11:12:05,claim_submit,提交理赔材料,,,,,
P018259,2026-08-18 16:43:45,survey,现场查勘,,,,公估员-陈,
P018259,2026-08-19 16:43:45,claim_submit,提交理赔材料,,,,,
P078678,2026-08-24 10:44:02,claim_pay,赔付 17021 元,,,17021,,
P048335,2026-08-24 21:01:59,policy_change,变更联系地址,,,,,
P078678,2026-08-25 10:44:02,claim_submit,提交理赔材料,,,,,
P076707,2026-08-27 16:34:40,premium_renew,续缴保费,,,2159,,
P086297,2026-08-28 14:10:28,premium_renew,续缴保费,,,4049,,
P034190,2026-09-01 06:03:57,premium_renew,续缴保费,,,12375,,
P041695,2026-09-11 08:34:40,claim_report,出险报案,,,,,
P059993,2026-09-11 13:29:46,claim_report,出险报案（真实事故）,,,,,
P069461,2026-09-11 17:13:13,premium_renew,续缴保费,,,8792,,
P041695,2026-09-12 08:34:40,repair_visit,车辆维修,,,,通达维修站,
P096829,2026-09-14 05:34:34,register,提交投保申请,,,,,
P011166,2026-09-14 09:38:29,register,提交投保申请,,,,,
P044306,2026-09-15 08:41:53,register,提交投保申请,,,,,
P059993,2026-09-15 13:29:46,repair_visit,车辆维修定损,collude,obvious,,联合汽修,
P098201,2026-09-15 18:04:24,premium_renew,续缴保费,,,4757,,
P096829,2026-09-16 05:34:34,policy_issue,保单签发（车险，保额 580133 元）,,,,,
P096829,2026-09-17 05:34:34,premium_pay,缴纳保费 6305 元,,,6305,,
P044306,2026-09-17 08:41:53,policy_issue,保单签发（意外险，保额 667859 元）,,,,,
P059993,2026-09-18 13:29:46,claim_submit,提交维修单 17674 元（定损金额虚高，实际约 5318）,inflate,obvious,17674,,
P011166,2026-09-20 09:38:29,policy_issue,保单签发（车险，保额 1485495 元）,,,,,
P051452,2026-09-20 11:27:48,policy_change,变更联系地址,,,,,
P011166,2026-09-21 09:38:29,premium_pay,缴纳保费 2724 元,,,2724,,
P076694,2026-09-21 15:05:33,policy_change,调整保额,,,,,
P041695,2026-09-23 08:34:40,claim_submit,提交理赔材料,,,,,
P059993,2026-09-23 13:29:46,invoice_verify_fail,定损审核异常（维修项目与事故伤情不符）,collude,obvious,,,
P041695,2026-09-25 08:34:40,claim_pay,赔付 3456 元,,,3456,,
P044306,2026-09-25 08:41:53,premium_pay,缴纳保费 737 元,,,737,,
P022969,2026-09-25 16:35:49,register,提交投保申请,,,,,
P030059,2026-09-27 15:15:37,premium_renew,续缴保费,,,1577,,
P076694,2026-09-28 09:08:32,premium_renew,续缴保费,,,957,,
P059993,2026-09-28 13:29:46,claim_pay,赔付 17674 元,cashout,obvious,17674,,
P093907,2026-10-01 05:45:52,premium_renew,续缴保费,,,1004,,
P035176,2026-10-03 08:43:11,policy_change,调整保额,,,,,
P054702,2026-10-03 17:59:04,premium_renew,续缴保费,,,644,,
P022969,2026-10-04 16:35:49,premium_pay,缴纳保费 898 元,,,898,,
P015859,2026-10-06 13:10:56,register,提交投保申请,,,,,
P096829,2026-10-07 09:50:28,claim_report,出险报案,,,,,
P096829,2026-10-07 09:50:28,repair_visit,车辆维修,,,,联合汽修,
P022969,2026-10-10 16:35:49,policy_issue,保单签发（健康险，保额 168263 元）,,,,,
P096829,2026-10-12 09:50:28,claim_submit,提交理赔材料,,,,,
P015859,2026-10-14 13:10:56,policy_issue,保单签发（家财险，保额 377455 元）,,,,,
P015859,2026-10-15 13:10:56,premium_pay,缴纳保费 655 元,,,655,,
P046067,2026-10-15 17:34:00,register,提交投保申请,,,,,
P092502,2026-10-15 18:59:11,claim_report,出险报案,,,,,
P096829,2026-10-16 09:50:28,claim_pay,赔付 10301 元,,,10301,,
P072201,2026-10-16 17:38:40,claim_report,出险报案,,,,,
P017874,2026-10-19 15:28:13,claim_report,出险报案,,,,,
P072201,2026-10-19 17:38:40,medical_visit,就诊检查,,,,博爱医院,
P021740,2026-10-20 02:51:15,claim_report,出险报案,,,,,
P021740,2026-10-20 02:51:15,medical_visit,就诊检查,,,,惠民门诊,
P075764,2026-10-20 08:16:28,claim_report,出险报案（延迟 12 天）,,,,,
P092502,2026-10-20 18:59:11,repair_visit,车辆维修,,,,安捷修理厂,
P085206,2026-10-21 09:23:20,premium_renew,续缴保费,,,4402,,
P051586,2026-10-21 11:31:26,register,提交投保申请,,,,,
P046067,2026-10-21 17:34:00,premium_pay,缴纳保费 5597 元,,,5597,,
P075245,2026-10-23 08:43:25,premium_renew,续缴保费,,,17574,,
P017874,2026-10-23 15:28:13,claim_submit,提交理赔材料,,,,,
P092502,2026-10-23 18:59:11,claim_submit,提交理赔材料,,,,,
P051586,2026-10-24 11:31:26,policy_issue,保单签发（家财险，保额 249264 元）,,,,,
P092502,2026-10-25 18:59:11,claim_pay,赔付 16218 元,,,16218,,
P096859,2026-10-26 16:28:27,register,提交投保申请,,,,,
P096859,2026-10-28 16:28:27,policy_issue,保单签发（寿险，保额 1337986 元）,,,,,
P046067,2026-10-28 17:34:00,policy_issue,保单签发（车险，保额 1137169 元）,,,,,
P096859,2026-10-29 16:28:27,premium_pay,缴纳保费 14125 元,,,14125,,
P051586,2026-10-30 11:31:26,premium_pay,缴纳保费 982 元,,,982,,
P017874,2026-10-31 15:28:13,claim_pay,赔付 2234 元,,,2234,,
P072201,2026-11-01 17:38:40,claim_pay,赔付 1100 元,,,1100,,
P072201,2026-11-02 17:38:40,claim_submit,提交理赔材料,,,,,
P025015,2026-11-04 06:51:03,premium_renew,续缴保费,,,4225,,
P021740,2026-11-07 02:51:15,claim_submit,提交理赔材料,,,,,
P021740,2026-11-11 02:51:15,claim_pay,赔付 18468 元,,,18468,,
P072458,2026-11-12 18:48:40,premium_renew,续缴保费,,,455,,
P086628,2026-11-12 20:55:45,premium_renew,续缴保费,,,1655,,
P075764,2026-11-14 08:16:28,claim_submit,提交理赔材料（延迟补充）,,,,,
P021741,2026-11-18 18:55:40,premium_renew,续缴保费,,,4903,,
P056730,2026-11-19 19:35:19,premium_renew,续缴保费,,,845,,
P075764,2026-11-21 08:16:28,claim_reject,材料不全被退回,,,,,
P059993,2026-11-26 08:29:12,premium_renew,续缴保费,,,17397,,
P025390,2026-11-26 09:17:12,premium_renew,续缴保费,,,2972,,
P012149,2026-12-01 09:48:47,premium_renew,续缴保费,,,9107,,
P084766,2026-12-05 11:57:05,premium_renew,续缴保费,,,2535,,
P053080,2026-12-07 01:15:07,premium_renew,续缴保费,,,6350,,
P070164,2026-12-11 16:36:21,register,提交投保申请,,,,,
P023482,2026-12-14 08:30:17,premium_renew,续缴保费,,,11296,,
P070164,2026-12-17 16:36:21,premium_pay,缴纳保费 5794 元,,,5794,,
P035679,2026-12-19 10:05:21,register,提交投保申请,,,,,
P070164,2026-12-21 16:36:21,policy_issue,保单签发（健康险，保额 775249 元）,,,,,
P025015,2026-12-21 19:23:27,claim_report,出险报案（同组相近时间）,stage,evasive,,,1
P033995,2026-12-22 17:11:51,policy_change,调整保额,,,,,
P025015,2026-12-22 19:23:27,repair_visit,车辆维修,collude,evasive,,仁心堂,
P035679,2026-12-24 10:05:21,policy_issue,保单签发（意外险，保额 736210 元）,,,,,
P035679,2026-12-27 10:05:21,premium_pay,缴纳保费 315 元,,,315,,
P015117,2026-12-27 11:07:36,premium_renew,续缴保费,,,836,,
P025015,2026-12-31 19:23:27,claim_pay,赔付 12192 元,cashout,evasive,12192,,
P025015,2027-01-04 19:23:27,claim_submit,提交理赔 12192 元（异地申报）,inflate,evasive,12192,,1
